Awasian,166819001,Rural,8300
Bagong Lungsod (Pob.),166819002,Urban,8300
Bioto,166819003,Rural,8300
Buenavista,166819004,Rural,8300
Bongtod Pob. (East West),166819005,Urban,8300
Dagocdoc (Pob.),166819006,Rural,8300
Mabua,166819008,Urban,8300
Mabuhay,166819009,Rural,8300
Maitum,166819010,Rural,8300
Maticdum,166819011,Rural,8300
Pandanon,166819012,Rural,8300
Pangi,166819013,Rural,8300
Quezon,166819014,Rural,8300
Rosario,166819015,Rural,8300
Salvacion,166819016,Rural,8300
San Agustin Norte,166819017,Rural,8300
San Agustin Sur,166819018,Rural,8300
San Antonio,166819019,Rural,8300
San Isidro,166819020,Rural,8300
San Jose,166819021,Rural,8300
Telaje,166819022,Urban,8300
